City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Kirillov,RU,59.863,38.3813,44.42,49,97,6.98,overcast clouds
120,Weatherford,US,32.7593,-97.7972,87.96,68,56,11.18,broken clouds
121,Bluff,NZ,-46.6,168.3333,50.27,87,100,29.35,light rain
122,Tecoanapa,MX,16.5167,-98.75,83.21,57,68,5.55,broken clouds
123,Amahai,ID,-3.3333,128.9167,78.93,80,69,3.42,broken clouds
124,Klaksvik,FO,62.2266,-6.589,50.92,87,95,15.77,overcast clouds
125,Imbituba,BR,-28.24,-48.6703,66.09,77,0,5.99,clear sky
126,Vila Velha,BR,-20.3297,-40.2925,76.95,57,20,17.27,few clouds
127,Adrar,MR,20.5022,-10.0711,106.84,6,1,4.65,clear sky
128,Nantucket,US,41.2835,-70.0995,66.31,88,100,10.36,mist
129,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,100,6.91,overcast clouds
130,Wawa,NG,9.9022,4.4192,95.47,34,60,5.08,broken clouds
131,Tigil,RU,57.8,158.6667,41.16,90,100,5.55,overcast clouds
132,Tahoua,NE,14.8888,5.2692,103.98,11,72,3.44,dust
133,Grindavik,IS,63.8424,-22.4338,55.35,66,20,25.32,few clouds
134,Stranraer,GB,54.9023,-5.0273,52.99,83,88,12.95,overcast clouds
135,Margate,GB,51.3813,1.3862,65.88,62,84,5.99,broken clouds
136,Padang,ID,-0.9492,100.3543,78.76,88,86,2.82,overcast clouds
137,Bentiu,SS,9.2333,29.8333,89.24,47,100,7.16,overcast clouds
138,Tailai,CN,46.3833,123.4,56.44,67,19,6.24,few clouds
139,Lima,PE,-12.0432,-77.0282,61.05,82,100,11.5,mist
140,Barrow,US,71.2906,-156.7887,21.22,93,100,10.36,overcast clouds
141,Castro,BR,-24.7911,-50.0119,63.54,39,3,2.35,clear sky
142,Tuatapere,NZ,-46.1333,167.6833,46.78,92,100,13.76,light rain
143,Faanui,PF,-16.4833,-151.75,79.27,75,16,10.4,light rain
144,Garca,BR,-22.2106,-49.6561,67.39,36,3,6.04,clear sky
145,Umm Lajj,SA,25.0213,37.2685,84.72,54,0,6.71,clear sky
146,Kaitangata,NZ,-46.2817,169.8464,44.89,92,99,12.88,light rain
147,Nanortalik,GL,60.1432,-45.2371,39.88,80,16,7.11,few clouds
148,Saint George,US,37.1041,-113.5841,66.63,17,0,4.61,clear sky
149,Ostrovnoy,RU,68.0531,39.5131,32.67,64,17,10.49,few clouds
150,Vao,NC,-22.6667,167.4833,72.66,91,100,28.07,overcast clouds
151,Mar Del Plata,AR,-38.0023,-57.5575,65.95,52,0,6.91,clear sky
152,Tautira,PF,-17.7333,-149.15,79.16,73,18,11.83,light rain
153,Bull Savanna,JM,17.8868,-77.5902,83.59,61,76,21.12,broken clouds
154,Bud,US,39.447,-86.1758,80.82,66,100,7.92,overcast clouds
155,Sudova Vyshnya,UA,49.7889,23.3722,63.41,61,4,19.44,clear sky
156,Leningradskiy,RU,69.3833,178.4167,30.22,98,97,9.15,overcast clouds
157,Bairiki,KI,1.3292,172.9752,80.6,83,20,5.75,few clouds
158,Nome,US,64.5011,-165.4064,59.07,33,40,11.5,scattered clouds
159,Bengkulu,ID,-3.8004,102.2655,77.74,85,99,2.3,overcast clouds
160,Barcelos,PT,41.5388,-8.6151,75.85,54,100,5.53,overcast clouds
161,Charters Towers,AU,-20.1,146.2667,61.93,87,57,10.4,broken clouds
162,Codajas,BR,-3.8367,-62.0569,86.14,53,44,3.58,scattered clouds
163,Lulea,SE,65.5842,22.1547,53.67,50,0,9.22,clear sky
164,Esperance,AU,-33.8667,121.9,63.84,66,82,12.21,broken clouds
165,Rongcheng,CN,30.634,117.8517,67.12,67,100,3.69,overcast clouds
166,Paamiut,GL,61.994,-49.6678,36.63,77,64,10.2,broken clouds
167,Erzin,TR,36.9559,36.2,76.55,37,50,1.61,scattered clouds
168,Launceston,AU,-41.45,147.1667,44.24,94,100,4.61,overcast clouds
169,Tiarei,PF,-17.5333,-149.3333,73.42,72,12,10.16,light rain
170,Kingaroy,AU,-26.5333,151.8333,57.24,100,100,8.05,mist
171,New Norfolk,AU,-42.7826,147.0587,42.3,87,5,2.59,clear sky
172,Ulladulla,AU,-35.35,150.4667,56.3,85,100,4.47,overcast clouds
173,Laguna,US,38.421,-121.4238,73.94,32,0,5.75,clear sky
174,Tshikapa,CD,-6.4167,20.8,79.83,69,99,2.44,overcast clouds
175,Amot,NO,59.5714,7.9877,52.2,67,97,3.13,overcast clouds
176,Saint-Augustin,CA,51.226,-58.6502,50.99,53,100,16.6,overcast clouds
177,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,64,40,9.22,scattered clouds
178,Havelock,US,34.8791,-76.9013,91.35,75,0,10.36,clear sky
179,Suket,IN,24.65,76.0333,95.49,23,6,18.52,clear sky
180,Skjervoy,NO,70.0311,20.9714,50.0,88,86,5.28,overcast clouds
