City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
112,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
114,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
116,Butaritari,KI,80.42,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
120,Weatherford,US,87.96,broken clouds,32.7593,-97.7972,Woodland Suites
122,Tecoanapa,MX,83.21,broken clouds,16.5167,-98.75,Hotel Manglares
123,Amahai,ID,78.93,broken clouds,-3.3333,128.9167,HOTEL ISABELA
126,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
136,Padang,ID,78.76,overcast clouds,-0.9492,100.3543,Mercure Padang
137,Bentiu,SS,89.24,overcast clouds,9.2333,29.8333,Mandela hôtel
143,Faanui,PF,79.27,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
145,Umm Lajj,SA,84.72,clear sky,25.0213,37.2685,Moon light Furnished Units
150,Vao,NC,72.66,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
152,Tautira,PF,79.16,light rain,-17.7333,-149.15,Pension Oaoa
153,Bull Savanna,JM,83.59,broken clouds,17.8868,-77.5902,Big Red's
154,Bud,US,80.82,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
157,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
159,Bengkulu,ID,77.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
160,Barcelos,PT,75.85,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
162,Codajas,BR,86.14,scattered clouds,-3.8367,-62.0569,Atlântic Hotel
167,Erzin,TR,76.55,scattered clouds,36.9559,36.2,Artemis Otel
169,Tiarei,PF,73.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
173,Laguna,US,73.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
174,Tshikapa,CD,79.83,overcast clouds,-6.4167,20.8,Tatem beach
177,Arraial Do Cabo,BR,75.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
182,Hobyo,SO,81.16,broken clouds,5.3505,48.5268,Iftin hotel hobyo
183,Colares,PT,72.34,broken clouds,38.7992,-9.4469,Arribas Sintra Hotel
185,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,Ikathouse
187,Cayenne,GF,84.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
191,Peniche,PT,78.08,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
192,Davila,PH,80.29,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
195,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
196,Hot Springs,US,86.18,scattered clouds,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
198,Grand Gaube,MU,75.6,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
199,Cockburn Town,TC,79.99,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
200,Puerto Penasco,MX,71.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
201,San Alberto,CO,84.58,scattered clouds,7.7611,-73.3922,Hotel San Alberto Plaza
203,Mogadishu,SO,80.06,overcast clouds,2.0371,45.3438,Hotel Juba
204,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
205,Imperia,IT,81.0,few clouds,43.9667,7.7833,La Stregatta
208,Lodja,CD,76.44,overcast clouds,-3.4833,23.4333,
212,Kupang,ID,77.31,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
213,Lethem,GY,73.38,overcast clouds,3.3803,-59.7968,Savannah Inn
217,Jagdalpur,IN,79.07,overcast clouds,19.0667,82.0333,Hotel Devansh Residency
219,Pueblo Bello,CO,84.7,overcast clouds,8.2041,-76.526,
221,Fare,PF,79.88,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
230,Touros,BR,85.84,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
231,Miandrivazo,MG,76.59,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
233,Canhotinho,BR,74.61,broken clouds,-8.8822,-36.1911,Pousada da Tia valda
246,San Cristobal,VE,73.58,few clouds,7.7669,-72.225,Pirineos
251,Mumford,GH,77.72,heavy intensity rain,5.2618,-0.759,Spanish Villa
255,Bandarbeyla,SO,80.8,overcast clouds,9.4942,50.8122,JABIR HOTEL
258,Jacqueville,CI,77.79,moderate rain,5.2052,-4.4146,Hotel Le Martin Pecheur
259,Looc,PH,80.53,broken clouds,12.2605,121.9926,Cummings Highlands
260,Kirkuk,IQ,81.25,broken clouds,35.4681,44.3922,Cihad Oteli
262,Itarema,BR,83.48,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
265,Pitimbu,BR,86.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
266,Ipilan,PH,80.82,overcast clouds,8.8431,117.9033,Brookes Inn
